iter	Passed	Remaining
793	5833	1513
794	5842	1506
795	5851	1499
796	5862	1493
797	5875	1487
798	5885	1480
799	5893	1473
800	5904	1466
801	5914	1460
802	5923	1453
803	5934	1446
804	5945	1440
805	5955	1433
806	5967	1427
807	5980	1420
808	5990	1414
809	6000	1407
810	6011	1401
811	6018	1393
812	6025	1385
813	6035	1379
814	6044	1372
815	6051	1364
816	6060	1357
817	6067	1350
818	6076	1342
819	6082	1335
820	6092	1328
821	6100	1321
822	6108	1313
823	6120	1307
824	6131	1300
825	6142	1293
826	6153	1287
827	6163	1280
828	6170	1272
829	6177	1265
830	6184	1257
831	6192	1250
832	6200	1243
833	6208	1235
834	6217	1228
835	6225	1221
836	6231	1213
837	6241	1206
838	6250	1199
839	6258	1192
840	6266	1184
841	6274	1177
842	6280	1169
843	6291	1162
844	6301	1155
845	6311	1148
846	6319	1141
847	6326	1133
848	6332	1126
849	6338	1118
850	6345	1110
851	6352	1103
852	6360	1096
853	6369	1088
854	6379	1081
855	6388	1074
856	6396	1067
857	6404	1059
858	6414	1052
859	6423	1045
860	6430	1038
861	6439	1030
862	6447	1023
863	6454	1015
864	6461	1008
865	6469	1000
866	6476	993
867	6484	986
868	6492	978
869	6499	971
870	6508	963
871	6517	956
872	6525	949
873	6533	941
874	6541	934
875	6550	927
876	6561	920
877	6570	912
878	6578	905
879	6587	898
880	6595	890
881	6610	884
882	6620	877
883	6625	869
884	6632	861
885	6639	854
886	6645	846
887	6652	839
888	6661	831
889	6669	824
890	6675	816
891	6681	808
892	6688	801
893	6696	794
894	6704	786
895	6714	779
896	6721	771
897	6731	764
898	6738	757
899	6745	749
900	6752	741
901	6758	734
902	6765	726
903	6771	719
904	6779	711
905	6803	705
906	6832	700
907	6865	695
908	6897	690
909	6929	685
910	6958	679
911	6982	673
912	7015	668
913	7041	662
914	7069	656
915	7102	651
916	7133	645
917	7158	639
918	7186	633
919	7219	627
920	7245	621
921	7269	615
922	7293	608
923	7315	601
924	7341	595
925	7375	589
926	7404	583
927	7436	576
928	7460	570
929	7485	563
930	7517	557
931	7542	550
932	7571	543
933	7595	536
934	7616	529
935	7641	522
936	7670	515
937	7702	509
938	7728	502
939	7752	494
940	7777	487
941	7798	480
942	7821	472
943	7845	465
944	7865	457
945	7888	450
946	7915	443
947	7942	435
948	7967	428
949	7998	420
950	8026	413
951	8048	405
952	8074	398
953	8102	390
954	8130	383
955	8150	375
956	8174	367
957	8195	359
958	8220	351
959	8247	343
960	8278	335
961	8305	328
962	8326	319
963	8354	312
964	8384	304
965	8414	296
966	8453	288
967	8475	280
968	8496	271
969	8518	263
970	8542	255
971	8578	247
972	8607	238
973	8634	230
974	8661	222
975	8690	213
976	8720	205
977	8746	196
978	8771	188
979	8800	179
980	8824	170
981	8845	162
982	8869	153
983	8894	144
984	8930	135
985	8960	127
986	8986	118
987	9020	109
988	9059	100
989	9086	91
990	9107	82
991	9126	73
992	9146	64
993	9168	55
994	9190	46
995	9210	36
996	9230	27
997	9254	18
998	9280	9
999	9298	0
